meal,ingredient,quantity,unit,category,aisle,optional,notes
chicken tikka,chicken thighs,1.5,lb,Meat,Meat,no,boneless skinless
chicken tikka,rice,2,cups,Pantry,Grains,no,
chicken tikka,bell pepper,2,count,Produce,Vegetables,no,
chicken tikka,onion,1,count,Produce,Vegetables,no,yellow onion
chicken tikka,spinach,5,oz,Produce,Vegetables,no,
chicken tikka,tikka masala sauce,1,jar,Pantry,Sauces,no,
,,,,,,,
ravioli,ravioli,20,oz,Refrigerated,Pasta,no,
ravioli,mushroom,8,oz,Produce,Vegetables,no,
ravioli,scallion,1,bunch,Produce,Vegetables,no,
ravioli,tomato sauce,1,jar,Pantry,Sauces,no,
ravioli,goat cheese,4,oz,Dairy,Dairy,no,
,,,,,,,
garlic shrimp,shrimp,1.5,lb,Seafood,Seafood,no,
garlic shrimp,couscous,2,cups,Pantry,Grains,no,
garlic shrimp,spinach,5,oz,Produce,Vegetables,no,
garlic shrimp,onion,1,count,Produce,Vegetables,no,
garlic shrimp,lemon,2,count,Produce,Fruit,no,
,,,,,,,
baked salmon,salmon,1.5,lb,Seafood,Seafood,no,
baked salmon,sweet potato,3,count,Produce,Vegetables,no,
baked salmon,asparagus,1,bunch,Produce,Vegetables,no,
baked salmon,lemon,2,count,Produce,Fruit,no,
,,,,,,,
zucchini polenta,shrimp,1.5,lb,Seafood,Seafood,no,
zucchini polenta,polenta,1,tube,Refrigerated,Specialty,no,
zucchini polenta,zucchini,3,count,Produce,Vegetables,no,
zucchini polenta,cheese,4,oz,Dairy,Dairy,no,
,,,,,,,
baked ziti,ziti,1,box,Pantry,Pasta,no,
baked ziti,mozzarella,8,oz,Dairy,Dairy,no,
baked ziti,tomato sauce,1,jar,Pantry,Sauces,no,
baked ziti,mushroom,8,oz,Produce,Vegetables,no,
baked ziti,onion,1,count,Produce,Vegetables,no,
,,,,,,,
enchilada,chicken,1.5,lb,Meat,Meat,no,
enchilada,black beans,1,can,Pantry,Canned,no,
enchilada,tortillas,1,pack,Pantry,Tortillas,no,
enchilada,bell pepper,2,count,Produce,Vegetables,no,
enchilada,onion,1,count,Produce,Vegetables,no,
enchilada,enchilada sauce,1,can,Pantry,Sauces,no,
enchilada,shredded cheese,8,oz,Dairy,Dairy,no,
,,,,,,,
chickpea coconut curry,chickpeas,2,can,Pantry,Canned,no,
chickpea coconut curry,rice,2,cups,Pantry,Grains,no,
chickpea coconut curry,bell pepper,2,count,Produce,Vegetables,no,
chickpea coconut curry,onion,1,count,Produce,Vegetables,no,
chickpea coconut curry,coconut milk,1,can,Pantry,Canned,no,
,,,,,,,
chicken shawarma bowl,chicken thighs,1.5,lb,Meat,Meat,no,
chicken shawarma bowl,rice,2,cups,Pantry,Grains,no,
chicken shawarma bowl,cucumber,1,count,Produce,Vegetables,no,
chicken shawarma bowl,tomato,3,count,Produce,Vegetables,no,
chicken shawarma bowl,red onion,1,count,Produce,Vegetables,no,
,,,,,,,
sheet pan chicken,chicken thighs,1.5,lb,Meat,Meat,no,
sheet pan chicken,potatoes,2,lb,Produce,Vegetables,no,
sheet pan chicken,green beans,12,oz,Produce,Vegetables,no,
sheet pan chicken,carrots,4,count,Produce,Vegetables,no,
sheet pan chicken,broccoli,1,head,Produce,Vegetables,no,
,,,,,,,
shrimp fried rice,shrimp,1,lb,Seafood,Seafood,no,
shrimp fried rice,eggs,4,count,Dairy,Refrigerated,no,
shrimp fried rice,rice,2,cups,Pantry,Grains,no,
shrimp fried rice,bell pepper,1,count,Produce,Vegetables,no,
shrimp fried rice,onion,1,count,Produce,Vegetables,no,
